#timebase=80000000(ps)
,#voltbase=2000000(uV)
#size=40064
6.10000E-05,4720.000
6.12500E-05,4800.000
6.15000E-05,4640.000
6.17500E-05,4800.000
6.20000E-05,4720.000
6.22500E-05,4800.000
6.25000E-05,4800.000
6.27500E-05,4720.000
6.30000E-05,4800.000
6.32500E-05,4800.000
6.35000E-05,4880.000
6.37500E-05,4720.000
6.40000E-05,4800.000
6.42500E-05,4720.000
6.45000E-05,4720.000
6.47500E-05,4800.000
6.50000E-05,4800.000
6.52500E-05,4880.000
6.55000E-05,4880.000
6.57500E-05,4800.000
6.60000E-05,4800.000
6.62500E-05,4720.000
6.65000E-05,4720.000
6.67500E-05,4720.000
6.70000E-05,4800.000
6.72500E-05,4720.000
6.75000E-05,4640.000
6.77500E-05,4800.000
6.80000E-05,4720.000
6.82500E-05,4800.000
6.85000E-05,4640.000
6.87500E-05,4800.000
6.90000E-05,4720.000
6.92500E-05,4800.000
6.95000E-05,4640.000
6.97500E-05,4800.000
7.00000E-05,4800.000
7.02500E-05,4720.000
7.05000E-05,4880.000
7.07500E-05,4720.000
7.10000E-05,4720.000
7.12500E-05,4800.000
7.15000E-05,4800.000
7.17500E-05,4720.000
7.20000E-05,4800.000
7.22500E-05,4800.000
7.25000E-05,4800.000
7.27500E-05,4880.000
7.30000E-05,4800.000
7.32500E-05,4720.000
7.35000E-05,4800.000
7.37500E-05,4720.000
7.40000E-05,4800.000
7.42500E-05,4640.000
7.45000E-05,4800.000
7.47500E-05,4880.000
7.50000E-05,4720.000
7.52500E-05,4800.000
7.55000E-05,4800.000
7.57500E-05,4800.000
7.60000E-05,4720.000
7.62500E-05,4880.000
7.65000E-05,4800.000
7.67500E-05,4800.000
7.70000E-05,4800.000
7.72500E-05,4880.000
7.75000E-05,4800.000
7.77500E-05,4720.000
7.80000E-05,4800.000
7.82500E-05,4720.000
7.85000E-05,4800.000
7.87500E-05,4720.000
7.90000E-05,4800.000
7.92500E-05,4800.000
7.95000E-05,4800.000
7.97500E-05,4880.000
8.00000E-05,4800.000
8.02500E-05,4880.000
8.05000E-05,4720.000
8.07500E-05,4720.000
8.10000E-05,4720.000
8.12500E-05,4720.000
8.15000E-05,4800.000
8.17500E-05,4880.000
8.20000E-05,4880.000
8.22500E-05,4880.000
8.25000E-05,4720.000
8.27500E-05,4720.000
8.30000E-05,4800.000
8.32500E-05,4800.000
8.35000E-05,4800.000
8.37500E-05,4800.000
8.40000E-05,4720.000
8.42500E-05,4800.000
8.45000E-05,4720.000
8.47500E-05,4800.000
8.50000E-05,4880.000
8.52500E-05,4720.000
8.55000E-05,4720.000
8.57500E-05,4880.000
8.60000E-05,4800.000
8.62500E-05,4880.000
8.65000E-05,4800.000
8.67500E-05,4720.000
8.70000E-05,4800.000
8.72500E-05,4640.000
8.75000E-05,4800.000
8.77500E-05,4720.000
8.80000E-05,4720.000
8.82500E-05,4800.000
8.85000E-05,4800.000
8.87500E-05,4880.000
8.90000E-05,4800.000
8.92500E-05,4720.000
8.95000E-05,4800.000
8.97500E-05,4720.000
9.00000E-05,4800.000
9.02500E-05,4640.000
9.05000E-05,4800.000
9.07500E-05,4880.000
9.10000E-05,4880.000
9.12500E-05,4800.000
9.15000E-05,4720.000
9.17500E-05,4800.000
9.20000E-05,4800.000
9.22500E-05,4880.000
9.25000E-05,4800.000
9.27500E-05,4720.000
9.30000E-05,4800.000
9.32500E-05,4800.000
9.35000E-05,4800.000
9.37500E-05,4800.000
9.40000E-05,4800.000
9.42500E-05,4800.000
9.45000E-05,4880.000
9.47500E-05,4720.000
9.50000E-05,4720.000
9.52500E-05,4880.000
9.55000E-05,4800.000
9.57500E-05,4880.000
9.60000E-05,4880.000
9.62500E-05,4880.000
9.65000E-05,4880.000
9.67500E-05,4720.000
9.70000E-05,4720.000
9.72500E-05,4720.000
9.75000E-05,4640.000
9.77500E-05,4800.000
9.80000E-05,4880.000
9.82500E-05,4800.000
9.85000E-05,4720.000
9.87500E-05,4800.000
9.90000E-05,4880.000
9.92500E-05,4720.000
9.95000E-05,4720.000
9.97500E-05,4800.000
1.00000E-04,4720.000
1.00250E-04,4720.000
1.00500E-04,4640.000
1.00750E-04,4800.000
