#timebase=40000000(ps)
,#voltbase=2000000(uV)
#size=40064
1.22000E-05,4880.000
1.22500E-05,4720.000
1.23000E-05,4720.000
1.23500E-05,4800.000
1.24000E-05,4880.000
1.24500E-05,4880.000
1.25000E-05,4880.000
1.25500E-05,4800.000
1.26000E-05,4720.000
1.26500E-05,4800.000
1.27000E-05,4720.000
1.27500E-05,4640.000
1.28000E-05,4800.000
1.28500E-05,4880.000
1.29000E-05,4960.000
1.29500E-05,4880.000
1.30000E-05,4720.000
1.30500E-05,4720.000
1.31000E-05,4720.000
1.31500E-05,4720.000
1.32000E-05,4720.000
1.32500E-05,4800.000
1.33000E-05,4880.000
1.33500E-05,4800.000
1.34000E-05,4880.000
1.34500E-05,4800.000
1.35000E-05,4800.000
1.35500E-05,4800.000
1.36000E-05,4720.000
1.36500E-05,4720.000
1.37000E-05,4800.000
1.37500E-05,4800.000
1.38000E-05,4880.000
1.38500E-05,4800.000
1.39000E-05,4880.000
1.39500E-05,4960.000
1.40000E-05,4880.000
1.40500E-05,4800.000
1.41000E-05,4800.000
1.41500E-05,4880.000
1.42000E-05,4800.000
1.42500E-05,4800.000
1.43000E-05,4800.000
1.43500E-05,4720.000
1.44000E-05,4800.000
1.44500E-05,4800.000
1.45000E-05,4800.000
1.45500E-05,4880.000
1.46000E-05,4800.000
1.46500E-05,4800.000
1.47000E-05,4800.000
1.47500E-05,4960.000
1.48000E-05,4800.000
1.48500E-05,4880.000
1.49000E-05,4800.000
1.49500E-05,4800.000
1.50000E-05,4800.000
1.50500E-05,4880.000
1.51000E-05,4720.000
1.51500E-05,4800.000
1.52000E-05,4880.000
1.52500E-05,4960.000
1.53000E-05,4880.000
1.53500E-05,4720.000
1.54000E-05,4800.000
1.54500E-05,4800.000
1.55000E-05,4800.000
1.55500E-05,4800.000
1.56000E-05,4800.000
1.56500E-05,4880.000
1.57000E-05,4800.000
1.57500E-05,4800.000
1.58000E-05,4800.000
1.58500E-05,4880.000
1.59000E-05,4800.000
1.59500E-05,4880.000
1.60000E-05,4720.000
1.60500E-05,4800.000
1.61000E-05,4800.000
1.61500E-05,4720.000
1.62000E-05,4800.000
1.62500E-05,4800.000
1.63000E-05,4880.000
1.63500E-05,4720.000
1.64000E-05,4880.000
1.64500E-05,4800.000
1.65000E-05,4800.000
1.65500E-05,4800.000
1.66000E-05,4880.000
1.66500E-05,4880.000
1.67000E-05,4800.000
1.67500E-05,4800.000
1.68000E-05,4800.000
1.68500E-05,4880.000
1.69000E-05,4800.000
1.69500E-05,4880.000
1.70000E-05,4720.000
1.70500E-05,4800.000
1.71000E-05,4720.000
1.71500E-05,4880.000
1.72000E-05,4800.000
1.72500E-05,4800.000
1.73000E-05,4880.000
1.73500E-05,4800.000
1.74000E-05,4800.000
1.74500E-05,4880.000
1.75000E-05,4800.000
1.75500E-05,4720.000
1.76000E-05,4800.000
1.76500E-05,4960.000
1.77000E-05,4800.000
1.77500E-05,4880.000
1.78000E-05,4960.000
1.78500E-05,4640.000
1.79000E-05,4880.000
1.79500E-05,4800.000
1.80000E-05,4880.000
1.80500E-05,4880.000
1.81000E-05,4800.000
1.81500E-05,4800.000
1.82000E-05,4800.000
1.82500E-05,4800.000
1.83000E-05,4880.000
1.83500E-05,4800.000
1.84000E-05,4800.000
1.84500E-05,4720.000
1.85000E-05,4800.000
1.85500E-05,4800.000
1.86000E-05,4800.000
1.86500E-05,4800.000
1.87000E-05,4880.000
1.87500E-05,4800.000
1.88000E-05,4720.000
1.88500E-05,4800.000
1.89000E-05,4880.000
1.89500E-05,4800.000
1.90000E-05,4960.000
1.90500E-05,4880.000
1.91000E-05,4880.000
1.91500E-05,4720.000
1.92000E-05,4720.000
1.92500E-05,4800.000
1.93000E-05,4880.000
1.93500E-05,4720.000
1.94000E-05,4880.000
1.94500E-05,4800.000
1.95000E-05,4800.000
1.95500E-05,4880.000
1.96000E-05,4800.000
1.96500E-05,4880.000
1.97000E-05,4880.000
1.97500E-05,4720.000
1.98000E-05,4640.000
1.98500E-05,4800.000
1.99000E-05,4880.000
1.99500E-05,4720.000
2.00000E-05,4800.000
2.00500E-05,4880.000
2.01000E-05,4800.000
2.01500E-05,4720.000
2.02000E-05,4800.000
2.02500E-05,4720.000
2.03000E-05,4800.000
2.03500E-05,4720.000
2.04000E-05,4880.000
2.04500E-05,4720.000
2.05000E-05,4880.000
2.05500E-05,4720.000
2.06000E-05,4720.000
2.06500E-05,4800.000
2.07000E-05,4880.000
2.07500E-05,4800.000
2.08000E-05,4720.000
2.08500E-05,4800.000
2.09000E-05,4880.000
2.09500E-05,4800.000
2.10000E-05,4880.000
2.10500E-05,4880.000
2.11000E-05,4720.000
2.11500E-05,4720.000
2.12000E-05,4720.000
2.12500E-05,4800.000
2.13000E-05,4720.000
2.13500E-05,4800.000
2.14000E-05,4880.000
2.14500E-05,4800.000
2.15000E-05,4720.000
2.15500E-05,4800.000
2.16000E-05,4800.000
2.16500E-05,4720.000
2.17000E-05,4800.000
2.17500E-05,4880.000
2.18000E-05,4800.000
2.18500E-05,4960.000
2.19000E-05,4720.000
2.19500E-05,4720.000
2.20000E-05,4800.000
2.20500E-05,4800.000
2.21000E-05,4880.000
2.21500E-05,4800.000
2.22000E-05,4880.000
2.22500E-05,4880.000
2.23000E-05,4800.000
2.23500E-05,4800.000
2.24000E-05,4880.000
2.24500E-05,4800.000
2.25000E-05,4800.000
2.25500E-05,4800.000
2.26000E-05,4800.000
2.26500E-05,4880.000
2.27000E-05,4800.000
2.27500E-05,4800.000
2.28000E-05,4800.000
2.28500E-05,4800.000
2.29000E-05,4800.000
2.29500E-05,4800.000
2.30000E-05,4800.000
2.30500E-05,4880.000
2.31000E-05,4800.000
2.31500E-05,4880.000
2.32000E-05,4880.000
2.32500E-05,4720.000
2.33000E-05,4880.000
2.33500E-05,4880.000
2.34000E-05,4800.000
2.34500E-05,4640.000
2.35000E-05,4800.000
2.35500E-05,4800.000
2.36000E-05,4880.000
2.36500E-05,4800.000
